Description,TotalSalesDollars,ProfitMargin
.nparalleled Svgn Blanc,2189.26,64.98908306916492
10 Span Cab Svgn CC,5228.0199999999995,59.1095672931626
10 Span Chard CC,6021.96,60.13191718310982
10 Span Pnt Gris Monterey Cy,4164.44,66.11309083574263
10 Span Pnt Nr CC,4636.3099999999995,60.9411363778522
1000 Stories Znfdl,3837.6,22.601626016260155
12 Days of Pearls Gift Set,339.66,97.883177294942
13th Colony Sthrn Corn Whsky,419.74,50.66231476628389
14 Hands Moscato,1494.4,61.81879014989293
14 Hands Rsl Wash,969.0500000000001,57.649244105051345
1792 Full Proof Bourbon,7152.42,62.25431392451786
1792 Single Barrel Bourbon,4890.780000000001,60.724260751863724
1792 Sweet Wheat Bourbon,6340.22,60.709407559990034
1800 Select Silver Tequila,3808.73,94.09960800581821
19 Crimes Warden Red,5647.74,61.54408666121316
2 Copas Spain White,119.88,33.33333333333333
2 Gingers Irish Whiskey,643.7199999999999,70.44367116137451
20 Mile 09 Brdx Superior,3786.4900000000002,91.64344815383112
4 Orange Vodka,791.64,91.38497296751048
42 Below Pure Vodka,189.89999999999998,1.4902580305423825
44* North Huckleberry Vodka,2114.06,56.43832246956093
44* North Magic Valley Vodka,2563.86,75.7085020242915
8000 Generations Shochu,649.78,33.56520668533966
900 Grapes Svgn Bl,119.88,66.21621621621621
A Bichot Adelie Mercury,1529.5500000000002,85.08711712595208
A Bichot Ch Gris Nuits 13 Ge,2239.72,43.61438036897468
A Bichot Ch Gris Nuits St Ge,1179.8,96.55195795897609
A Bichot Chablis 14 Les Vauc,1919.52,39.65366341585397
A Bichot Chablis Les Clos 14,2239.68,13.081333047578205
A Bichot Chablis Vaucopins,2580.11,97.69079612884723
A Bichot Clos Marechaudes,1079.88,83.87043004778309
A Bichot Cremant Brut Rose,6410.74,55.41138776490702
A Bichot Macon-Villages,6601.75,44.13117733934184
A Bichot Merc Champs M,472.89,94.05781471378121
A Bichot Merc Champs Mart 14,1919.52,43.176419104776194
A Bichot Montagny 1er Cru 14,1979.4,47.01424674143681
A Bichot Morey St Denis 14 S,2043.7199999999998,43.232928189771584
A Innocenti Nonni Cab Svgn,1247.04,58.862586605080836
A Portela Mencia,917.46,36.563991890654634
A Proper Pink,8885.16,64.78060046189377
A by Acacia Red Cal,287.76,72.6021684737281
A la Carte White,749.5,37.686457638425615
A to Z Rose,1597.06,57.1713022679173
A to Z Rsl,2004.82,66.656856974691
Aalto Ribera Del Duero Red,99.98,66.2132426485297
Aberfeldy 21 Yr Single Malt,5759.64,71.61419810960408
Absolut Cilantro,8149.5599999999995,70.73559799547459
Absolut Elyx,1349.7,58.971623323701564
Absolut Grapevine Vodka,9758.28,89.7916436093246
Absolut Hibiskus,175.92,36.613233287858115
Absolut Orient Apple Vodka,159.92,90.7391195597799
Absolut Peppar Vodka,479.76,59.86951809237952
Absolut Wild Tea,1293.1100000000001,88.79059012767668
Acacia Winery Chard Carneros,575.76,31.513130471029594
Acacia Winery Pnt Nr Carnero,895.68,51.749508753126115
Acacia Winery Pnt Nr Lake,575.8199999999999,11.097217880587671
Achaia Cellars Retsina,398.58,23.28767123287671
Achaval Ferrer Cab Svgn,459.79999999999995,57.50543714658547
Acorn Alegria Vyds Cab Franc,5568.99,74.70492854180021
Acorn Cve Alegria Russ Syrah,4729.3,80.4516524644239
Acorn Dolcetto Alegria RRV,5598.16,76.94063763808109
Acorn Medley Alegria RRV,3378.49,91.46097812928261
Adaption by Odette Chard,6525.96,90.64582069151513
Adelsheim Auxerrois Ribbon S,1627.26,88.12851050231677
Adelsheim Bryan Creek Pnt Nr,4479.36,87.5
Adelsheim Caitlins Rsv Chard,3119.2200000000003,80.0180814434378
