VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,271141.0,9737655.59,1259453.56,498191.89,68601.68,5926403.99,60.86068597544227,1.8689068100358424,2.5549757958776587,26.27,Large,0.0
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,307907.0,9264059.85,1055531.46,565750.57,144929.24,5460018.629999999,58.93764416904106,1.8770467818432315,2.435320574680839,23.19,Large,0.0
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,358774.0,8681232.26,858557.25,659218.07,123780.22,5262928.58,60.62421119925203,1.914410881130374,2.539631663152877,18.240000000000002,Large,0.0
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,374520.0,8373427.8,783018.9199999999,688154.04,257032.07,5112229.859999999,61.053011766579026,1.856982774863399,2.5675926313138784,16.169999999999998,Large,0.0
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,255759.0,7966624.41,1022443.46,469930.06,257032.07,4943418.4,62.0516061205903,1.8518633832697362,2.6351576384964916,21.889999999999997,Large,0.0
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,271108.0,6465194.42,838285.32,213468.32,89286.27,3998558.4899999998,61.8474593375028,1.9531010237088373,2.6210574253655663,17.77,Large,0.0
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,133279.0,5301902.21,1154152.84,244884.87,123780.22,3124617.13,58.9338883713587,1.8829238659000043,2.4350978467183544,30.76,Large,0.0
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,285540.0,4987387.6,549778.2699999999,524652.65,257032.07,2899052.76,58.12768111305405,1.7692984521581798,2.3882126105792496,12.940000000000001,Large,0.0
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,174691.0,5080040.09,942749.7799999999,320966.93,257032.07,3176300.54,62.52510774969101,1.9022268198399304,2.668453302869082,20.73,Large,0.0
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,204666.0,4650746.34,798187.1399999999,376041.26,123880.97,2877319.2,61.867902260177885,1.8799808939430125,2.622462595221138,16.29,Large,0.0
